Title,Company,Location,Contract,Salary,Description
Chemistry Data Scientist,Qubit Pharmaceuticals,75014 Paris 14e,None,Negotiable,Translate business requests into data analysis.
Data scientist-(H/F),Société Générale,Télétravail hybride à La Défense (92),None,Negotiable,Rejoignez l’entité Global Banking & Investors Services et plus particulièrement le service en charge de la mesure et de la coordination de l’expérience Clients…
Data Scientist – Consultant – Financial Services (H/F),Deloitte,La Défense (92),None,Negotiable,Exploration des données à l’aide d’outils de Data Discovery (Qliksense) et restitution des analyses réalisées ;
Data Scientist F/H NORD - LILLE (IT),OTTEO,Lille (59),None,De 40 000 € à 45 000 € par an,Vous accompagnerez notre client nordiste dans le secteur du Retail.
Junior Data Scientist,Systemathics,La Défense (92),None,Negotiable,Understand challenges of market data sourcing and processing.
Data Scientist,Pernod Ricard,Paris (75),None,Negotiable,"Internal stakeholders: IT data scientist, IT Platform lead, Project managers, experts."
Data Scientist F/M,Airbus,13700 Marignane,None,Negotiable,"Econometrics (Panel data models, regression, time series …)."
DATA-SCIENTIST (H/F),UCPA,Arcueil (94),None,Negotiable,"Connaissances basiques sur des practices de software engineering et data engineering (containers, orchestration, exploitation des plateformes ""big data""), ainsi…"
Data Scientist,International Flavors & Fragrances,92200 Neuilly-sur-Seine,None,Negotiable,"You will collaborate with a multi-disciplinary environment constituted of other data scientist, engineers and Scent Creative teams."
Data Scientist - Computer Vision Junior (H/F),Airbus,78996 Élancourt,None,Negotiable,"Based on data modelling provided by IT, with a focus on business needs, extract and integrate both structured and unstructured data from various databases/data…"
Data Scientist (IT),1G-LINK CONSULTING,Paris (75),None,De 40 000 € à 45 000 € par an,Extraire les données du système source.
Data Scientist H/F,Capgemini,Paris (75),None,Negotiable,"En Marketing : connaissances en outils de data management (SAP, Python, R, Excel, Access) et des bases de données (SQL, no-SQL)."
Ingénieur Data Scientist Junior H/F,AKKA TECHNOLOGIES,Paris (75),None,Negotiable,La data science avec les outils Python et R.
