Title,Company,Location,Contract,Salary,Description
DevOps junior,Sept Lieues,"+ 1 lieu
Télétravail",De 50 000 € à 65 000 € par an,De 50 000 € à 65 000 € par an,"En tant qu’Ingénieur DevOps, vous rejoindrez le lead DevOps pour travailler en collaboration avec lui."
DevOps CI/CD (H/F) - 44 + Remote (IT) / Freelanc,Mindquest (anciennement Club Freelance),Télétravail à Nantes (44),De 50 000 € à 65 000 € par an,Negotiable,Nantes Mindquest (anciennement Club Freelance) Indépendant Informatique IT.
DevOps & Cloud Engineer H/F,Les Nouvelles Recrues,75004 Paris 4e,De 50 000 € à 65 000 € par an,De 55 000 € à 65 000 € par an,Une équipe de 6 développeurs back-end ou full-stack.
DevOps,B-Hive Engineering,Bordeaux (33),De 50 000 € à 65 000 € par an,Negotiable,Apporter une expertise aux équipes techniques.
Ingénieur DevOPS IAC Junior H/F,Air France-KLM,"Valbonne (06)
+ 1 lieu",De 50 000 € à 65 000 € par an,Negotiable,Assurer du consulting et du support aux différentes entités de l’organisation AF/KLM en terme d’automatisation et d’Infrastructure As a Code.
Stage DevOps/SRE,Skale 5,33000 Bordeaux,De 50 000 € à 65 000 € par an,1 400 € par mois,Tu apprendras les caractéristiques des Cloud Providers AMAZON WEB SERVICE ou GOOGLE CLOUD PLATFORM (Tu approfondiras l’un d’entre eux en obtenant une…
Ingénieur Devops (H/F) à Montréal,Sully Group,"Montréal (11)
+ 2 lieux",De 50 000 € à 65 000 € par an,Negotiable,
Devops H/F,Seyos,"Angers (49)
+ 2 lieux",De 50 000 € à 65 000 € par an,De 35 000 € à 42 000 € par an,"Technologies : GNU/Linux, Scripting, Docker, Git, Gerrit, Ansible, Jenkins, Apache, Nginx, PHP, MySQL, PostgreSQL, Vmware, Proxmox, Environnement Cloud (AWS/…"
Ingénieur devOps et IT (H/F) (IT),Pickmeup,Paris (75),De 50 000 € à 65 000 € par an,De 40 000 € à 65 000 € par an,➢ Assurer la conception et la maintenance de l’infrastructure de production des produits.
Stage Ingénieur Automatique & Systèmes Embarqués,K-Ryole,Paris 19e (75),De 50 000 € à 65 000 € par an,Negotiable,K-Ryole est une jeune société basée à Paris et fondée en 2016.
Consultant DevOps H/F,Objectware,Nantes (44),De 50 000 € à 65 000 € par an,Negotiable,"Définition et mise en œuvre des bonnes pratiques DevOps,."
Ingénieur DevOps RENNES F/H,Capgemini,"Télétravail à Rennes (35)
+ 1 lieu",De 50 000 € à 65 000 € par an,Negotiable,"Déployer, via ansible et Terraform, les environnements techniques, réceptionner les livraisons des services, les intégrer dans l’écosystème cible et valider…"
Stage Ingénieur DevOps H/F - Grenobl,Capgemini,Grenoble (38),De 50 000 € à 65 000 € par an,Negotiable,Capgemini accompagne les entreprises pour faire de leurs infrastructures un accélérateur de transformation digitale.
Ingénieur DevOps OpenStack-(H/F),Société Générale,Fontenay-sous-Bois (94),De 50 000 € à 65 000 € par an,Negotiable,C'est l'offre Cloud la plus populaire du moment.
Devops F/H,Kent FR,"Saint-Denis (93)
+ 1 lieu",De 50 000 € à 65 000 € par an,De 50 000 € à 55 000 € par an,Mise en production et intégration d'applications ;
Développeur web junior,My REM Software,Saint-Gratien (95),None,Negotiable,Gérer les environnements locaux (Souces / Serveur / Base) pour assurer la disponibilité des ressources locales.
DevOps Specialist GRENOBLE H/F/NB,Capgemini,"Grenoble (38)
+ 1 lieu",None,Negotiable,"Ansible, Docker, Git, Nexus, Jenkins."
Ingénieur(e) méthodes en alternanc,SPIE,Saint-Denis (93),None,Negotiable,Assurer le suivi d’indicateurs de performance sur des contrats multi-techniques et multi-sites.
DevOps H/F,Potentiel-IT,13000 Marseille,None,De 40 000 € à 60 000 € par an,Inspiré du Clean code nous avons créé le Clean Recrutement pour devenir acteur de sa carrière et vivre une expérience candidat positive et respectueuse.
Ingénieur DevOps Junior MONTPELLIER H/F,Capgemini,"Montpellier (34)
+ 1 lieu",None,Negotiable,Capgemini accompagne les entreprises pour faire de leurs infrastructures un accélérateur de transformation digitale.
DevOps Junior (F/H) en télétravail,O'clock,Télétravail à 75004 Paris 4e,None,Negotiable,"Pour ça, on s’est armé d’une équipe de plus de 160 personnes (bientôt 200), toutes en télétravail, un peu partout en France et même au-delà."
DEVOPS ENGINEER JUNIOR - AWS,Harnham,Paris (75),None,De 45 000 € à 60 000 € par an,Cette Start-Up spécialisée dans le domaine médical développe une technologie innovante basée sur l'IA et le ML permettant d'optimiser des médicaments.
Integrateur HTML CSS / Creative Codeur,De Bussac Multimédia,63000 Clermont-Ferrand,None,Negotiable,Que tu aimes le travail en équipe et que tu saches faire du reporting.
DEVOPS JUNIOR/MIDDLE MEDTECH - REMOTE,Urban Linker,Télétravail à Paris (75),None,De 40 000 € à 60 000 € par an,Il est parfois long et compliqué d’obtenir une information ou un diagnostic médical fiable.
Ingenieur Devops - H/F,HC RESOURCES,57000 Metz,None,46 000 € par an,"DevOps Manager, DevOps Developer / CDI / Environ 46k€ / 3 - 6 ans / Metz."
