Title,Company,Location,Contract,Salary,Description
Développeur junior H/F,EBP Informatique,Télétravail à 78125 Gazeran,De 28 000 € à 31 000 € par an,De 28 000 € à 31 000 € par an,Travailler en étroite collaboration avec la qualité fonctionnelle et les développeurs logiciels pour enrichir la couverture des tests automatisés.
Pour Tiime : Développeur(se) Frontend Angular/Typescript - Full remote - H/F,JL Recrutement,Télétravail à Paris (75),De 28 000 € à 31 000 € par an,50 000 € par an,"Développeur Frontend, Frontend Developer / CDI / Environ 50k€ / 3 - 6 ans / Paris."
DÉVELOPPEUR FULLSTACK JAVA/ANGULAR (H/F),Apside,"Nantes (44)
+ 1 lieu",De 28 000 € à 31 000 € par an,De 40 000 € à 60 000 € par an,Développement des évolutions de l’application.
Développeur / Développeuse d'application (H/F),Pôle Emploi,"33063 Bordeaux
+ 1 lieu",De 28 000 € à 31 000 € par an,De 1 750 € à 2 000 € par mois,"Vous travaillerez au sein d'une équipe dont l'objectif est double, former de futurs développeurs NoCode et développer des applis métiers à l'attention des…"
Développeur Windev / Freelanc,Intuition IT Solutions Ltd.,Nantes (44),De 28 000 € à 31 000 € par an,De 400 € à 550 € par jour,Expert Windev Equipe de 8 à 10 développeurs basés sur Nantes.
Développeur Delphi (H/F),HR-TEAM,Paris (75),De 28 000 € à 31 000 € par an,De 40 000 € à 45 000 € par an,Rédiger les spécifications fonctionnelles et techniques.
Développeur web junior,My REM Software,Saint-Gratien (95),De 28 000 € à 31 000 € par an,Negotiable,Gérer les environnements locaux (Souces / Serveur / Base) pour assurer la disponibilité des ressources locales.
Développeur PHP - Symfony - Full Remote H/F,Seyos,"Télétravail à Nantes (44)
+ 2 lieux",De 28 000 € à 31 000 € par an,De 45 000 € à 52 000 € par an,"Notre client final, est un éditeur de logiciels SaaS spécialisé dans l'éducation (EdTech) et composé de 28 collaborateurs."
Développeur Windev (H/F),TALENTS IT,"Vaux-sur-Mer (17)
+ 1 lieu",De 28 000 € à 31 000 € par an,De 35 000 € à 50 000 € par an,Nous recrutons actuellement pour notre client un(e) Développeur(euse) Windev en Seine-et-Marne dans le cadre d'un CDI.
Développeur web,Pickmeup,Gennevilliers (92),De 28 000 € à 31 000 € par an,De 40 000 € à 45 000 € par an," SAV : support fonctionnel et technique auprès des clients : accompagnement, formation, débogages,."
Développeur(se) Frontend Vue.js (H/F),TALENTS IT,Rennes (35),De 28 000 € à 31 000 € par an,De 35 000 € à 55 000 € par an,"Réaliser les tests unitaires, l'analyse et la rédaction du rapport de tests."
Développeur Nodejs Junior H/F,Seyos,Nantes (44),De 28 000 € à 31 000 € par an,De 38 000 € à 40 000 € par an,Nantes Seyos CDI Informatique Développeur Javascript.
Développeur Mobile - Client Final Domotique H/F,Silkhom,Cholet (49),De 28 000 € à 31 000 € par an,Jusqu’à 60 000 € par an,Cholet Silkhom CDI Informatique Développeur mobile.
Développeur Flutter - Site e-commerce - Full remote H-F / Freelanc,LUNAE,Télétravail à Paris (75),De 28 000 € à 31 000 € par an,De 200 € à 450 € par jour,
Développeur Microstrategy / Freelanc,YGL consulting,Paris (75),De 28 000 € à 31 000 € par an,De 470 € à 500 € par jour,
Développeur TALEND H/F,Anthills,Télétravail hybride à 93420 Villepinte,De 50 000 € à 55 000 € par an,De 50 000 € à 55 000 € par an,Formation de développeur avec 5 ans d'expérience sur un poste similaire.
Web Développeur - Campus de Nantes H/F,Credit Agricole,Nantes (44),De 50 000 € à 55 000 € par an,Negotiable,Nantes Credit Agricole CDI Informatique Web.
Développeur web junior (H/F),VIGICORP,Saint-Herblain (44),De 50 000 € à 55 000 € par an,Negotiable,Vigicorp accélère son développement et renforce son équipe développement pour soutenir sa croissance.
Développeur Angular H/F,Extia,"Nantes (44)
+ 3 lieux",De 50 000 € à 55 000 € par an,Negotiable,"Ayant soif d'apprendre, vous aimez prendre part aux projets les plus novateurs,."
Développeur(euse) C#,TOPSOLID,91055 Évry,De 50 000 € à 55 000 € par an,Negotiable,"Fort de plus de trente-cinq années d’expérience, TOPSOLID SAS est un leader mondial dans l’édition de logiciel CAO-CFAO-ERP."
Développeur Front-End H/F,Mindigital,Nantes (44),De 50 000 € à 55 000 € par an,Negotiable,Nantes Mindigital CDI Informatique Développeur front end.
Développeur Web PHP (Symfony) / Mysql - Télétravail possibl,American Vintage,Télétravail à Signes (83),De 50 000 € à 55 000 € par an,Negotiable,"Master’s Degree, MA/MS/MSc."
Développeur SAS confirmé (H/F) / Freelanc,FRISBEE PROFILING,Melun (77),De 50 000 € à 55 000 € par an,De 480 € à 550 € par jour,
Développeur full stack Junior CDI,Gentis Recruitment SAS,Télétravail hybride à Paris (75),De 50 000 € à 55 000 € par an,De 43 000 € à 49 000 € par an,Participation à toutes les phases du projet sur du JAVA.
Développeur C# F/H,Kent FR,"Paris (75)
+ 1 lieu",De 50 000 € à 55 000 € par an,De 55 000 € à 57 000 € par an,"Dans une entreprise de sécurité et de protection internationale, vous pourrez vous épanouir en tant que Développeur C# au sein d'une équipe prête à tout pour…"
ASSISTANT/ASSISTANTE IOS DÉVELOPPEUR JUNIOR (F/H),Louis Vuitton,Paris (75),De 50 000 € à 55 000 € par an,Negotiable,"Depuis plus de 150 ans, les femmes et les hommes de Louis Vuitton partagent le même esprit d'exigence, de passion et réinventent chaque jour leur métier,…"
Développeur Flutter H/F,Point Rh,Nantes (44),De 50 000 € à 55 000 € par an,Negotiable,"Rédaction des documentations techniques et fonctionnelles,."
Développeur F/H,Anthills,44240 La Chapelle-sur-Erdre,De 50 000 € à 55 000 € par an,De 30 000 € à 40 000 € par an,"De formation BAC+2 minimum, vous avez une première expérience comme développeur."
Développeur SQL Junior (H/F),CITECH,Besançon (25),De 50 000 € à 55 000 € par an,De 25 000 € à 35 000 € par an,Nous recherchons en effet un(e) Développeur SQL Junior (H/F). .
Développeur Backend PHP - Full Remote Possible - - Nantes 44000 H/F,UpTalent,Télétravail à Nantes (44),De 50 000 € à 55 000 € par an,Negotiable,Développeur Backend PHP - Full Remote Possible - - Nantes 44000 H/F.
Développeur Backend PHP - Full Remote Possible - - Nantes 44000 H/F,UpTalent,Télétravail à Nantes (44),CDI,Negotiable,Développeur Backend PHP - Full Remote Possible - - Nantes 44000 H/F.
Analyste développeur / développeus,Pôle Emploi,75108 Paris,CDI,De 2 500 € à 3 000 € par mois,Concevoir et développer les programmes et applications informatiques.
Développeur NodeJS Typescript (H/F),HR-TEAM,Paris (75),CDI,De 65 000 € à 70 000 € par an,Développement du projet en Node JS Typescript.
Développeur JavaScript H/F,Nexton Consulting FR,Lille (59),CDI,Negotiable,"Pour un de nos clients du retail travaillant sur son nouveau service de location par abonnement, vous avez en charge de co-créer avec une équipe de 5…"
Développeur(euse) Full Stack PHP/Javascript (H/F),TALENTS IT,"Paris 1er (75)
+ 1 lieu",CDI,De 40 000 € à 50 000 € par an,"Nous recrutons en CDI pour notre client basé à Paris, un(e) Web Développeur(se) Full-Stack PHP/Javascript."
Développeur front end Vue Js,ITSGROUP,Nantes (44),CDI,De 40 000 € à 45 000 € par an,"Compétences Backend Java EE (Webservice Rest, Java 8, OSGi) pour monter en compétences sur Liferay 7.3."
Développeur Delphi (H/F) / Freelanc,HR-TEAM,Paris (75),CDI,De 350 € à 400 € par jour,"Vous maitrisez le langage orienté objet DELPHI, le langage SQL, et un gestionnaire de versioning (type CVS, SVN, GIT, RTC...)."
Développeur Angular H/F,Cabinet Point RH,Nantes (44),CDI,Negotiable,Vous justifiez d'une première expérience en tant que développeur web.
Développeur React JS (H/F),RKS Consulting,Télétravail à Paris (75),CDI,Negotiable,Nous recherchons avant tout une personnalité.
Développeur Senior Delphi H/F,Savane,Nanterre (92),CDI,De 35 000 € à 60 000 € par an,"Notre client, un groupe français, leader français de la production électrique, recherche un profil de ’DEVELOPPEUR SENIOR DELPHI en vue de réaliser une…"
Développeur SQL/SSIS (H/F),Pôle Emploi,"78180 Montigny-le-Bretonneux
+ 1 lieu",CDI,De 38 000 € à 44 000 € par an,Concevoir et développer les programmes et applications informatiques.
Développeur Android JUNIOR H/F,HR-TEAM,Paris (75),CDI,De 40 000 € à 50 000 € par an,Participer aux développements en utilisant le SDK Android.
Développeur & analyste de données géophysiques (H/F),CNRS,La Rochelle (17),CDI,De 2 200 € à 2 500 € par mois,Assurez-vous que votre profil candidat soit correctement renseigné avant de postuler.
Développeur PHP / VueJS H/F,HR-TEAM,Paris (75),CDI,De 45 000 € à 60 000 € par an,Concevez et réalisez les développements sous PHP 7/ 8 - VueJS.
Développeur(se) Cobol / Freelanc,Accelite,Paris (75),CDI,De 300 € à 500 € par jour,
Développeur / développeuse tests automatisés (H/F),Pôle Emploi,92120 Montrouge,35 000 € par an,35 000 € par an,Statut cadre
Développeur(euse) Back-End (H/F),TALENTS IT,Paris 1er (75),35 000 € par an,De 60 000 € à 70 000 € par an,Notre client est un éditeur de logiciel.
Développeur Javascript H/F,Accenture,44800 Saint-Herblain,35 000 € par an,Negotiable,Saint-Herblain Accenture CDI Informatique Développeur Javascript.
